0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:07 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/javascript/adminlogin.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:34:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:35:59 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:35:59 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:35:59 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:35:59 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:41:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
